run	sample	study	bioproject	biosample	center	releasedate	platform	instrument	librarylayout	libraryselection	assay_type	mbases
SRR061231	SRS015578	SRP002163	PRJNA48479	SAMN10657921	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	6394
SRR061233	SRS016225	SRP002163	PRJNA48479	SAMN00037443	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	6135
SRR061234	SRS051031	SRP002163	PRJNA48479	SAMN00071040	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	6416
SRR061235	SRS015369	SRP002163	PRJNA48479	SAMN00036587	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	5461
SRR061236	SRS056259	SRP002163	PRJNA48479	SAMN00076268	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	6457
SRR061237	SRS019071	SRP002163	PRJNA48479	SAMN00040289	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	6161
SRR061241	SRS015762	SRP002163	PRJNA48479	SAMN00036980	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	6376
SRR061242	SRS016225	SRP002163	PRJNA48479	SAMN00037443	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	5960
SRR061243	SRS015762	SRP002163	PRJNA48479	SAMN00036980	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	6207
SRR061244	SRS014684	SRP002163	PRJNA48479	SAMN00035902	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	7300
SRR061249	SRS018739	SRP002163	PRJNA48479	SAMN00039957	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	6516
SRR061250	SRS018739	SRP002163	PRJNA48479	SAMN00039957	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	5127
SRR061252	SRS015395	SRP002163	PRJNA48479	SAMN00036613	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	5874
SRR061254	SRS015369	SRP002163	PRJNA48479	SAMN00036587	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	5877
SRR061255	SRS015960	SRP002163	PRJNA48479	SAMN00037178	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	5720
SRR061258	SRS014684	SRP002163	PRJNA48479	SAMN00035902	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	7246
SRR061276	SRS015797	SRP002163	PRJNA48479	SAMN00037015	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	6055
SRR061279	SRS042643	SRP002163	PRJNA48479	SAMN00062652	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	6142
SRR061280	SRS052697	SRP002163	PRJNA48479	SAMN00072706	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	4980
SRR061281	SRS056622	SRP002163	PRJNA48479	SAMN00076631	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	5326
SRR061284	SRS052697	SRP002163	PRJNA48479	SAMN00072706	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	4905
SRR061289	SRS056622	SRP002163	PRJNA48479	SAMN00076631	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	5146
SRR061292	SRS042643	SRP002163	PRJNA48479	SAMN00062652	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	5999
SRR061294	SRS063215	SRP002163	PRJNA48479	SAMN00082239	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	5667
SRR061295	SRS019122	SRP002163	PRJNA48479	SAMN00040340	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	5816
SRR061300	SRS019122	SRP002163	PRJNA48479	SAMN00040340	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	5885
SRR061302	SRS063215	SRP002163	PRJNA48479	SAMN00082239	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	5834
SRR061315	SRS063193	SRP002163	PRJNA48479	SAMN00082217	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	4408
SRR061318	SRS063193	SRP002163	PRJNA48479	SAMN00082217	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	4448
SRR061322	SRS015893	SRP002163	PRJNA48479	SAMN00037111	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	4579
SRR061324	SRS047210	SRP002163	PRJNA48479	SAMN00067219	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	5455
SRR061326	SRS014923	SRP002163	PRJNA48479	SAMN00036141	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	6209
SRR061327	SRS044486	SRP002163	PRJNA48479	SAMN00064495	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	5815
SRR061330	SRS048164	SRP002163	PRJNA48479	SAMN10657922	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	4982
SRR061331	SRS015217	SRP002163	PRJNA48479	SAMN00036435	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	5719
SRR061334	SRS015217	SRP002163	PRJNA48479	SAMN00036435	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	5719
SRR061339	SRS015893	SRP002163	PRJNA48479	SAMN00037111	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	4563
SRR061341	SRS019022	SRP002163	PRJNA48479	SAMN00040240	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	4868
SRR061342	SRS058336	SRP002163	PRJNA48479	SAMN00078345	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	4997
SRR061343	SRS048164	SRP002163	PRJNA48479	SAMN10657922	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	4979
SRR061352	SRS058336	SRP002163	PRJNA48479	SAMN00078345	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	5178
SRR061353	SRS019022	SRP002163	PRJNA48479	SAMN00040240	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	4903
SRR061359	SRS047210	SRP002163	PRJNA48479	SAMN00067219	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	5594
SRR061368	SRS014923	SRP002163	PRJNA48479	SAMN00036141	WUGSC	2010-07-30	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	6215
SRR061377	SRS044486	SRP002163	PRJNA48479	SAMN00064495	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	5795
SRR061399	SRS057791	SRP002163	PRJNA48479	SAMN00077800	WUGSC	2010-07-30	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	5410
SRR061417	SRS057791	SRP002163	PRJNA48479	SAMN00077800	WUGSC	2010-07-29	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	5423
SRR061431	SRS053603	SRP002163	PRJNA48479	SAMN00073612	WUGSC	2010-08-13	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	4523
SRR061432	SRS047044	SRP002163	PRJNA48479	SAMN00067053	WUGSC	2010-08-13	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	5018
SRR061433	SRS051791	SRP002163	PRJNA48479	SAMN00071800	WUGSC	2010-08-13	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	5410
SRR061434	SRS051791	SRP002163	PRJNA48479	SAMN00071800	WUGSC	2010-08-13	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	5310
SRR061435	SRS015272	SRP002163	PRJNA48479	SAMN00036490	WUGSC	2010-08-13	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	5487
SRR061438	SRS047044	SRP002163	PRJNA48479	SAMN00067053	WUGSC	2010-08-13	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	4896
